"id","order_id","product_id","item_type","item_name","item_specs","quantity","unit_price","total_price","config_data","created_at"
"1","1","2","product","AURUM 4K Elite","i7-13700K, RTX4080","1","299990.00","299990.00",NULL,"2026-01-13 14:23:48"
"2","2","1","config","AURUM 4K Pro","AMD Ryzen 9 7950X3D, NVIDIA RTX 4090 24GB","1","369990.00","369990.00","{""cpu"":{""name"":""AMD Ryzen 9 7950X3D"",""price"":20000},""gpu"":{""name"":""NVIDIA RTX 4090 24GB"",""price"":0,""selected"":true},""ssd"":{""name"":""2TB NVMe SSD"",""price"":0,""selected"":true},""warranty"":{""name"":""1 год"",""price"":0,""selected"":true}}","2026-01-13 14:25:17"
"3","3","9","product","AURUM FHD Ultra","i5-13400F, RTX4060 Ti","1","139990.00","139990.00",NULL,"2026-01-13 14:30:34"
"4","4","5","product","AURUM 2K Ultra","i7-13700KF, RTX4080 SUPER","1","239990.00","239990.00",NULL,"2026-01-13 15:17:14"
"5","5","1","product","AURUM 4K Pro","i9-13900K, RTX4090","1","349990.00","349990.00",NULL,"2026-01-13 17:07:22"
"6","5","2","product","AURUM 4K Elite","i7-13700K, RTX4080","1","299990.00","299990.00",NULL,"2026-01-13 17:07:22"
"9","8","1","product","AURUM 4K Pro","i9-13900K, RTX4090","1","349990.00","349990.00",NULL,"2026-01-14 17:04:34"
"10","9","5","product","AURUM 2K Ultra","i7-13700KF, RTX4080 SUPER","1","239990.00","239990.00",NULL,"2026-01-14 17:13:26"
"11","10","9","product","AURUM FHD Ultra","i5-13400F, RTX4060 Ti","1","139990.00","139990.00",NULL,"2026-01-21 20:25:26"
"12","11","9","product","AURUM FHD Ultra","i5-13400F, RTX4060 Ti","1","139990.00","139990.00",NULL,"2026-01-21 20:32:13"
